Force,Distance,Time,Event,
N,mm,min,,
Sample 1,,,,
-0.4767,0.0050,1.04733,0,
-0.4767,0.0050,1.04750,0,
-0.4767,0.0050,1.04767,0,
-0.4767,0.0050,1.04783,0,
-0.4767,0.0050,1.04800,0,
-0.4767,0.0050,1.04817,0,
-0.4767,0.0050,1.04833,0,
-0.4767,0.0050,1.04850,0,
-0.4767,0.0050,1.04867,0,
-0.4767,0.0050,1.04883,0,
-0.4767,0.0050,1.04900,0,
-0.4767,0.0050,1.04917,0,
-0.4767,0.0050,1.04933,0,
-0.4767,0.0050,1.04950,0,
-0.4767,0.0050,1.04967,0,
-0.4767,0.0050,1.04983,0,
-0.4767,0.0050,1.05000,0,
-0.4767,0.0050,1.05017,0,
-0.4767,0.0050,1.05033,0,
-0.4767,0.0050,1.05050,0,
-0.4767,0.0050,1.05067,0,
-0.4767,0.0050,1.05083,0,
-0.4767,0.0050,1.05100,0,
-0.4767,0.0050,1.05117,0,
-0.4767,0.0050,1.05133,0,
-0.4767,0.0050,1.05150,0,
-0.4767,0.0050,1.05167,0,
-0.4767,0.0050,1.05183,0,
-0.4767,0.0050,1.05200,0,
-0.4767,0.0050,1.05217,0,
-0.4767,0.0050,1.05233,0,
-0.4767,0.0050,1.05250,0,
-0.4767,0.0050,1.05267,0,
-0.4767,0.0050,1.05283,0,
-0.4767,0.0050,1.05300,0,
-0.4767,0.0050,1.05317,0,
-0.4767,0.0050,1.05333,0,
-0.4767,0.0050,1.05350,0,
-0.4767,0.0050,1.05367,0,
-0.4767,0.0050,1.05383,0,
-0.4767,0.0050,1.05400,0,
-0.4767,0.0050,1.05417,0,
-0.3178,0.0050,1.05433,0,
-0.3178,0.0050,1.05450,0,
-0.4767,0.0050,1.05467,0,
-0.3178,0.0050,1.05483,0,
-0.3178,0.0050,1.05500,0,
-0.3178,0.0050,1.05517,0,
-0.3178,0.0050,1.05533,0,
-0.3178,0.0050,1.05550,0,
-0.3178,0.0050,1.05567,0,
-0.3178,0.0050,1.05583,0,
-0.3178,0.0050,1.05600,0,
-0.3178,0.0050,1.05617,0,
-0.3178,0.0050,1.05633,0,
-0.3178,0.0050,1.05650,0,
-0.3178,0.0050,1.05667,0,
-0.3178,0.0050,1.05683,0,
-0.3178,0.0050,1.05700,0,
-0.3178,0.0050,1.05717,0,
-0.3178,0.0050,1.05733,0,
-0.3178,0.0050,1.05750,0,
-0.3178,0.0050,1.05767,0,
-0.3178,0.0050,1.05783,0,
-0.3178,0.0050,1.05800,0,
-0.3178,0.0050,1.05817,0,
-0.3178,0.0050,1.05833,0,
-0.3178,0.0050,1.05850,0,
-0.3178,0.0050,1.05867,0,
-0.3178,0.0050,1.05883,0,
-0.3178,0.0050,1.05900,0,
-0.3178,0.0050,1.05917,0,
-0.3178,0.0050,1.05933,0,
-0.3178,0.0050,1.05950,0,
-0.3178,0.0050,1.05967,0,
-0.3178,0.0050,1.05983,0,
-0.3178,0.0050,1.06000,0,
-0.3178,0.0050,1.06017,0,
-0.3178,0.0050,1.06033,0,
-0.3178,0.0050,1.06050,0,
-0.3178,0.0050,1.06067,0,
-0.3178,0.0050,1.06083,0,
-0.3178,0.0050,1.06100,0,
-0.3178,0.0050,1.06117,0,
-0.3178,0.0050,1.06133,0,
-0.3178,0.0050,1.06150,0,
-0.3178,0.0050,1.06167,0,
-0.3178,0.0050,1.06183,0,
-0.3178,0.0050,1.06200,0,
-0.3178,0.0050,1.06217,0,
-0.3178,0.0050,1.06233,0,
-0.3178,0.0050,1.06250,0,
-0.3178,0.0050,1.06267,0,
-0.3178,0.0050,1.06283,0,
-0.3178,0.0050,1.06300,0,
-0.3178,0.0050,1.06317,0,
-0.3178,0.0050,1.06333,0,
-0.3178,0.0050,1.06350,0,
